# 미국 실질 주택가격 지수 (1890=100) · Robert Shiller, Irrational Exuberance Fig 3-1 · 2026-08-23
# ⚠ 이미 물가를 뺀 «실질» 계열이다. 다른 실질 수익률과 바로 견줄 수 있다.
#   1953년 이전은 연 단위 자료를 그해 1월에 놓았다. 월별은 그 뒤부터다.
date,real_index
1984-02,108.042
1984-03,108.321
1984-04,108.4
1984-05,108.768
1984-06,109.079
1984-07,109.26
1984-08,109.364
1984-09,109.163
1984-10,109.053
1984-11,109.069
1984-12,109.307
1985-01,109.477
1985-02,109.455
1985-03,109.665
1985-04,109.891
1985-05,110.317
1985-06,110.803
1985-07,111.389
1985-08,111.951
1985-09,112.362
1985-10,112.581
1985-11,112.883
1985-12,113.175
1986-01,113.544
1986-02,114.529
1986-03,115.923
1986-04,117.206
1986-05,117.994
1986-06,118.516
1986-07,119.694
1986-08,120.511
1986-09,120.856
1986-10,121.423
1986-11,121.918
1986-12,122.706
1987-01,122.638
1987-02,122.965
1987-03,123.056
1987-04,123.358
1987-05,124.008
1987-06,124.836
1987-07,125.575
1987-08,125.819
1987-09,125.822
1987-10,126.01
1987-11,126.253
1987-12,126.721
1988-01,126.832
1988-02,127.118
1988-03,127.324
1988-04,127.521
1988-05,128.216
1988-06,128.868
1988-07,129.442
1988-08,129.795
1988-09,129.623
1988-10,129.633
1988-11,129.956
1988-12,130.119
1989-01,130.073
1989-02,130.156
1989-03,130.184
1989-04,130.134
1989-05,130.138
1989-06,130.515
1989-07,130.794
1989-08,130.98
1989-09,130.816
1989-10,130.305
1989-11,130.051
1989-12,129.806
1990-01,128.53
1990-02,128.028
1990-03,127.669
1990-04,127.882
1990-05,128.013
1990-06,127.667
1990-07,127.268
1990-08,125.976
1990-09,124.528
1990-10,123.274
1990-11,122.148
1990-12,121.494
1991-01,120.074
1991-02,119.444
1991-03,119.089
1991-04,119.197
1991-05,119.56
1991-06,119.971
1991-07,120.21
1991-08,119.978
1991-09,119.424
1991-10,118.806
1991-11,118.058
1991-12,117.682
1992-01,117.287
1992-02,116.796
1992-03,116.452
1992-04,116.694
1992-05,117.014
1992-06,116.908
1992-07,116.825
1992-08,116.525
1992-09,116.038
1992-10,115.583
1992-11,115.392
1992-12,115.3
1993-01,114.63
1993-02,114.128
1993-03,113.814
1993-04,113.911
1993-05,114.3
1993-06,114.862
1993-07,115.409
1993-08,115.454
1993-09,115.314
1993-10,114.801
1993-11,114.719
1993-12,114.635
1994-01,114.448
1994-02,114.066
1994-03,113.888
1994-04,114.245
1994-05,114.904
1994-06,115.227
1994-07,115.439
1994-08,115.339
1994-09,115.063
1994-10,114.934
1994-11,114.588
1994-12,114.458
1995-01,113.928
1995-02,113.426
1995-03,113.172
1995-04,113.211
1995-05,113.441
1995-06,113.747
1995-07,114.229
1995-08,114.269
1995-09,114.163
1995-10,113.776
1995-11,113.716
1995-12,113.626
1996-01,112.844
1996-02,112.441
1996-03,112.229
1996-04,112.427
1996-05,112.863
1996-06,113.402
1996-07,113.689
1996-08,113.78
1996-09,113.497
1996-10,113.039
1996-11,112.727
1996-12,112.639
1997-01,112.339
1997-02,112.076
1997-03,112.217
1997-04,112.623
1997-05,113.419
1997-06,113.99
1997-07,114.439
1997-08,114.638
1997-09,114.566
1997-10,114.411
1997-11,114.778
1997-12,115.207
1998-01,115.41
1998-02,115.474
1998-03,115.925
1998-04,116.608
1998-05,117.466
1998-06,118.399
1998-07,119.125
1998-08,119.697
1998-09,120.001
1998-10,120.032
1998-11,120.289
1998-12,120.685
1999-01,120.743
1999-02,120.942
1999-03,121.394
1999-04,121.58
1999-05,122.769
1999-06,124.061
1999-07,124.753
1999-08,125.357
1999-09,125.4
1999-10,125.726
1999-11,126.055
1999-12,126.556
2000-01,126.761
2000-02,126.734
2000-03,126.816
2000-04,128.084
2000-05,129.383
2000-06,130.14
2000-07,130.911
2000-08,131.902
2000-09,131.975
2000-10,132.476
2000-11,133.091
2000-12,133.784
2001-01,133.46
2001-02,133.449
2001-03,134.06
2001-04,134.561
2001-05,135.105
2001-06,136.164
2001-07,137.697
2001-08,138.615
2001-09,138.565
2001-10,139.293
2001-11,139.719
2001-12,140.537
2002-01,140.68
2002-02,140.702
2002-03,141.128
2002-04,141.865
2002-05,143.744
2002-06,145.503
2002-07,146.95
2002-08,147.697
2002-09,148.355
2002-10,148.868
2002-11,149.465
2002-12,150.397
2003-01,150.325
2003-02,149.963
2003-03,150.209
2003-04,151.909
2003-05,153.733
2003-06,155.18
2003-07,156.666
2003-08,157.599
2003-09,158.372
2003-10,159.584
2003-11,160.932
2003-12,162.109
2004-01,162.565
2004-02,163.214
2004-03,164.51
2004-04,166.374
2004-05,167.845
2004-06,169.777
2004-07,172.101
2004-08,173.678
2004-09,174.77
2004-10,175.189
2004-11,176.439
