일자,기관_순매수_원,개인_순매수_원,외국인_순매수_원,기타법인_순매수_원
2024-07-08,-347080987718,-187503307968,529786835231,4797460455
2024-07-09,-28547347150,-296869583551,327041542043,-1624611342
2024-07-10,13766148853,-279338051109,527495848626,-261923946370
2024-07-11,-84858375617,-347640978329,609857151817,-177357797871
2024-07-12,84229073724,472926949892,-551052490049,-6103533567
2024-07-15,125743887660,-36690686143,-77420675259,-11632526258
2024-07-16,96170139632,-290346842349,189604215980,4572486737
2024-07-17,142005413282,103653547933,-254234237913,8575276698
2024-07-18,13001150173,368863100508,-349071254758,-32792995923
2024-07-19,-363889014721,784819877898,-422892463376,1961600199
2024-07-22,-23790923922,141405528099,-84460040282,-33154563895
2024-07-23,-24556182132,-199031488227,250171854588,-26584184229
2024-07-24,40984241574,234507422587,-265378916630,-10112747531
2024-07-25,-152935749182,826680176096,-678522847160,4778420246
2024-07-26,398295014021,-372977360561,-47471711193,22154057733
2024-07-29,76782136485,-484670869905,444367252455,-36478519035
2024-07-30,-353859202541,726880926800,-240727282483,-132294441776
2024-07-31,48307392265,-177183934710,150306537994,-21429995549
2024-08-01,-173786742350,-300547729742,441188829842,33145642250
2024-08-02,-780729561870,1621448616993,-844884393264,4165338141
2024-08-05,-269281118374,1694484752138,-1519801103814,94597470050
2024-08-06,-325614797419,453390529118,-167708548070,39932816371
2024-08-07,-306452545212,293363963628,-17491149771,30579731355
2024-08-08,-282251882652,796175363017,-516734412538,2810932173
2024-08-09,34669431400,-37620048786,1720564705,1230052681
2024-08-12,146940477134,-196754196046,78095787111,-28282068199
2024-08-13,-63241769334,-27434054685,131829332118,-41153508099
2024-08-14,-114347608635,-316247613122,390109993775,40485227982
2024-08-16,215877724271,-1465806847932,1205453986865,44475136796
2024-08-19,-15549066331,138678018369,-117550394485,-5578557553
2024-08-20,3846213945,-279241194929,289012417600,-13617436616
2024-08-21,-26119456676,-13772860551,31383661658,8508655569
2024-08-22,42259682833,-112932957720,66147158990,4526115897
2024-08-23,345336259549,-103662229899,-241798908365,124878715
2024-08-26,399722184607,98637406839,-464813182719,-33546408727
2024-08-27,370080248927,-4399762509,-406553972181,40873485763
2024-08-28,252779701416,54848608815,-339637420644,32009110413
2024-08-29,-265666066274,619156956398,-417784361000,64293470876
2024-08-30,483079731834,-115249738003,-380659855005,12829861174
2024-09-02,-415083139287,157736687859,239157125838,18189325590
2024-09-03,-247056544378,513365417385,-287115016969,20806143962
2024-09-04,-730211391980,1650229078908,-988578652805,68560965877
2024-09-05,120383926587,465182186414,-589901969330,4335856329
2024-09-06,82946408561,170806962669,-264923067951,11169696721
2024-09-09,45031172502,469404766804,-540176017975,25740078669
2024-09-10,-59972126129,685060268648,-665386834157,40298691638
2024-09-11,42494840832,890683588689,-1028361162058,95182732537
2024-09-12,25515213769,-242422102700,278526207301,-61619318370
2024-09-13,436548652977,403651376774,-959633497371,119433467620
2024-09-19,879487938161,264072532868,-1171328271085,27767800056
2024-09-20,272835510768,-244382937290,-32650240007,4197666529
2024-09-23,344281218702,371259731461,-701864193552,-13676756611
2024-09-24,572131284766,-210094962999,-378950108572,16913786805
2024-09-25,549458509125,34771267495,-571826220911,-12403555709
2024-09-26,802355815121,-1263413221214,490428540742,-29371134649
2024-09-27,-431236042375,177610665452,265404388073,-11779011150
2024-09-30,-213500112535,1189202174865,-1000056524837,24354462507
2024-10-02,-705950584225,986820691453,-304775953300,23905846072
2024-10-04,-216841386660,67207152348,42836918047,106797316265
