# 국제 금 **현물** 시세 (USD/트로이온스, 일별) · XAU/USD
#   창구 — investing.com API(instrumentId 68). scripts/gold_spot.py 가 만든다.
#   ⚠ 직접 HTTP 는 403 이라 **Aside 브라우저**로만 받는다. cron 에서 못 돈다.
#   ⚠ **1985년 이전은 종가만 믿는다** — 시·고·저가 종가 복사다.
#      실측 flat 비율: 1980~84 100% · 1985~89 29% · 1990~94 3% · 1995~ 2%.
#      이 파일 전체 flat 비율 14.5%.
#   ⚠ 월별(금가격_월별_1833)은 현물, 일별(금가격_일별)은 COMEX 선물이다.
#      선물은 콘탱고로 현물보다 중앙 +0.5% 높다. 셋을 섞어 쓰지 않는다.
date,open,high,low,close
1986-08-29,386.77,383.45,383.45,383.45
1986-09-01,389.48,387.71,387.71,387.71
1986-09-02,393.74,391.24,391.24,391.24
1986-09-03,406.94,404.87,404.87,404.87
1986-09-04,404.87,403.72,403.72,403.72
1986-09-05,421.09,417.45,417.45,417.45
1986-09-08,421.09,415.68,415.68,415.68
1986-09-09,411.83,409.75,409.75,409.75
1986-09-10,417.49,416.40,416.40,416.40
1986-09-11,407.66,400.70,400.70,400.70
1986-09-12,422.68,417.49,417.49,417.49
1986-09-15,417.76,409.57,409.57,409.57
1986-09-16,417.49,413.26,413.26,413.26
1986-09-17,413.94,411.35,411.35,411.35
1986-09-18,419.40,416.40,416.40,416.40
1986-09-19,431.69,428.96,428.96,428.96
1986-09-22,444.24,435.10,435.10,435.10
1986-09-23,438.37,431.82,431.82,431.82
1986-09-24,437.96,433.05,433.05,433.05
1986-09-25,431.82,431.82,431.82,431.82
1986-09-26,436.60,431.00,431.00,431.00
1986-09-29,428.68,427.45,427.45,427.45
1986-09-30,423.91,422.81,422.81,422.81
1986-10-01,426.23,422.95,422.95,422.95
1986-10-02,433.32,432.10,432.10,432.10
1986-10-03,440.69,436.60,436.60,436.60
1986-10-06,438.92,437.15,437.15,437.15
1986-10-07,443.97,437.15,437.15,437.15
1986-10-08,439.74,438.37,438.37,438.37
1986-10-09,438.65,431.82,431.82,431.82
1986-10-10,431.28,430.32,430.32,430.32
1986-10-13,432.64,431.55,431.55,431.55
1986-10-14,432.37,428.27,428.27,428.27
1986-10-15,426.36,422.95,422.95,422.95
1986-10-16,425.95,425.13,425.13,425.13
1986-10-17,422.95,420.49,420.49,420.49
1986-10-20,426.09,425.13,425.13,425.13
1986-10-21,426.91,424.04,424.04,424.04
1986-10-22,427.59,423.63,423.63,423.63
1986-10-23,425.68,423.77,423.77,423.77
1986-10-24,414.08,411.35,411.35,411.35
1986-10-27,411.08,409.30,409.30,409.30
1986-10-28,412.58,411.35,411.35,411.35
1986-10-29,410.80,404.52,404.52,404.52
1986-10-30,406.98,404.66,404.66,404.66
1986-10-31,407.12,399.88,399.88,399.88
1986-11-03,406.16,405.48,405.48,405.48
1986-11-04,409.17,407.53,407.53,407.53
1986-11-05,412.17,405.48,405.48,405.48
1986-11-06,408.07,407.53,407.53,407.53
