일자,티커,이름,거래소,시가,고가,저가,종가,거래량
20240410,SOXX,반도체ETF,NAS,220.84,223.425,219.225,220.49,3610492.0
20240410,TSM,TSMC ADR,NYS,146.63,148.43,145.26,146.22,18861324.0
20240411,AVGO,브로드컴,NAS,1332.68,1391.87,1323.65,1382.46,3171331.0
20240411,MU,마이크론,NAS,122.9,127.56,122.08,127.51,21745300.0
20240411,NVDA,엔비디아,NAS,874.2,907.3899,869.26,906.16,43163727.0
20240411,QQQ,나스닥100,NAS,440.26,446.33,437.96,445.37,45474550.0
20240411,SMH,반도체ETF2,NAS,223.48,227.57,221.68,227.31,7200625.0
20240411,SOXX,반도체ETF,NAS,221.88,225.87,220.06,225.47,2455324.0
20240411,TSM,TSMC ADR,NYS,147.2,147.56,144.13,147.2,11818761.0
20240412,AVGO,브로드컴,NAS,1352.01,1366.505,1336.62,1344.07,2782332.0
20240412,MU,마이크론,NAS,125.25,125.99,121.83,122.52,24808212.0
20240412,NVDA,엔비디아,NAS,896.99,901.7499,875.3,881.86,42680479.0
20240412,QQQ,나스닥100,NAS,441.1,442.24,436.88,438.27,53664995.0
20240412,SMH,반도체ETF2,NAS,223.5,223.8199,219.97,220.68,8741486.0
20240412,SOXX,반도체ETF,NAS,221.49,221.76,217.64,218.07,3210362.0
20240412,TSM,TSMC ADR,NYS,145.0,146.51,142.15,142.52,12024043.0
20240415,AVGO,브로드컴,NAS,1370.0,1370.0,1306.0,1310.69,2437045.0
20240415,MU,마이크론,NAS,123.63,124.78,120.61,121.37,17732610.0
20240415,NVDA,엔비디아,NAS,890.98,906.13,859.2901,860.01,44307695.0
20240415,QQQ,나스닥100,NAS,442.06,442.15,430.21,431.06,63453622.0
20240415,SMH,반도체ETF2,NAS,223.75,224.98,216.61,217.36,6750355.0
20240415,SOXX,반도체ETF,NAS,221.05,221.86,214.24,215.31,3170838.0
20240415,TSM,TSMC ADR,NYS,145.02,145.48,139.8801,140.14,13458780.0
20240416,AVGO,브로드컴,NAS,1315.38,1336.319,1311.0,1329.06,1892274.0
20240416,MU,마이크론,NAS,119.53,122.5499,118.36,121.77,17452449.0
20240416,NVDA,엔비디아,NAS,864.325,881.18,860.639,874.15,37045302.0
20240416,QQQ,나스닥100,NAS,430.9,433.76,429.7,431.1,47618961.0
20240416,SMH,반도체ETF2,NAS,217.33,220.36,216.4702,219.16,6754863.0
20240416,SOXX,반도체ETF,NAS,215.4,218.0,214.51,216.94,2452334.0
20240416,TSM,TSMC ADR,NYS,137.89,140.5399,137.06,139.8,14218222.0
20240417,AVGO,브로드컴,NAS,1343.11,1347.0,1281.42,1282.63,2471780.0
20240417,MU,마이크론,NAS,122.02,124.42,116.2,116.33,25546487.0
20240417,NVDA,엔비디아,NAS,883.4,887.75,839.5,840.35,49539951.0
20240417,QQQ,나스닥100,NAS,433.1,433.12,424.9,425.84,56880536.0
20240417,SMH,반도체ETF2,NAS,219.51,220.12,212.07,212.4,11726419.0
20240417,SOXX,반도체ETF,NAS,217.1,217.44,209.9,210.36,4798630.0
20240417,TSM,TSMC ADR,NYS,141.13,142.57,137.3601,139.03,18823237.0
20240418,AVGO,브로드컴,NAS,1288.0,1292.65,1255.46,1258.99,2488803.0
20240418,MU,마이크론,NAS,116.0,117.615,111.48,111.93,32146904.0
20240418,NVDA,엔비디아,NAS,849.7,861.8999,824.02,846.71,44726034.0
20240418,QQQ,나스닥100,NAS,426.49,428.24,422.83,423.41,46549363.0
20240418,SMH,반도체ETF2,NAS,210.97,212.25,207.36,208.63,10350628.0
20240418,SOXX,반도체ETF,NAS,208.86,210.23,205.97,206.63,5372719.0
20240418,TSM,TSMC ADR,NYS,132.89,135.13,130.3,132.27,39306149.0
20240419,AVGO,브로드컴,NAS,1258.99,1260.0,1197.56,1204.71,4479658.0
20240419,MU,마이크론,NAS,109.66,110.88,105.72,106.77,33787517.0
20240419,NVDA,엔비디아,NAS,831.5,843.24,756.06,762.0,87519800.0
20240419,QQQ,나스닥100,NAS,422.22,422.75,413.07,414.65,75230990.0
20240419,SMH,반도체ETF2,NAS,206.72,208.0,198.44,199.21,13584568.0
20240419,SOXX,반도체ETF,NAS,204.8,206.12,197.43,198.39,6406611.0
20240419,TSM,TSMC ADR,NYS,129.37,131.55,126.64,127.7,28284021.0
20240422,AVGO,브로드컴,NAS,1224.5,1233.2,1200.54,1224.46,2516218.0
20240422,MU,마이크론,NAS,107.6,110.23,106.63,109.12,19820866.0
20240422,NVDA,엔비디아,NAS,781.04,800.73,764.0,795.18,59634051.0
20240422,QQQ,나스닥100,NAS,417.31,421.18,413.94,418.82,47807663.0
20240422,SMH,반도체ETF2,NAS,200.97,204.38,199.15,203.02,9801705.0
20240422,SOXX,반도체ETF,NAS,200.44,203.11,198.02,201.66,4493791.0
20240422,TSM,TSMC ADR,NYS,126.75,130.6606,125.78,129.75,18556792.0
20240423,AVGO,브로드컴,NAS,1228.17,1257.9,1228.02,1249.19,2202513.0
20240423,MU,마이크론,NAS,109.71,112.89,108.91,112.46,17887455.0
20240423,NVDA,엔비디아,NAS,807.69,827.69,802.64,824.23,43855937.0
20240423,QQQ,나스닥100,NAS,420.77,426.28,418.8715,425.07,44384741.0
20240423,SMH,반도체ETF2,NAS,204.49,208.58,203.93,207.8,7300632.0
20240423,SOXX,반도체ETF,NAS,203.05,206.86,202.5,205.87,3645360.0
20240423,TSM,TSMC ADR,NYS,131.36,133.71,130.66,133.43,12573756.0
20240424,AVGO,브로드컴,NAS,1263.9,1285.62,1244.96,1256.82,2010793.0
20240424,MU,마이크론,NAS,112.72,113.95,109.23,111.78,20505925.0
20240424,NVDA,엔비디아,NAS,839.5,840.82,791.83,796.77,51220753.0
20240424,QQQ,나스닥100,NAS,428.2,429.73,424.2,426.51,48440305.0
20240424,SMH,반도체ETF2,NAS,212.64,213.14,206.95,208.04,6564870.0
20240424,SOXX,반도체ETF,NAS,211.38,212.5,206.74,208.54,4077580.0
20240424,TSM,TSMC ADR,NYS,136.09,136.29,131.54,132.97,15558000.0
20240425,AVGO,브로드컴,NAS,1272.45,1308.03,1257.0,1294.42,3040967.0
20240425,MU,마이크론,NAS,109.3728,113.0595,108.07,111.58,18342804.0
20240425,NVDA,엔비디아,NAS,788.6801,833.2299,782.23,826.32,42464073.0
20240425,QQQ,나스닥100,NAS,419.24,425.32,418.14,424.45,57392169.0
20240425,SMH,반도체ETF2,NAS,207.09,213.68,205.75,212.2,8682207.0
20240425,SOXX,반도체ETF,NAS,208.04,213.83,206.93,212.41,3902877.0
20240425,TSM,TSMC ADR,NYS,130.0,137.84,128.86,136.58,18034257.0
20240426,AVGO,브로드컴,NAS,1310.0,1355.83,1303.13,1344.07,2409983.0
20240426,MU,마이크론,NAS,112.0,115.06,111.6,114.84,20630671.0
20240426,NVDA,엔비디아,NAS,838.18,883.3093,833.87,877.35,55101078.0
20240426,QQQ,나스닥100,NAS,427.62,432.55,426.92,431.0,41874907.0
