# 비트코인 일별 — 업비트 **KRW/BTC**. scripts/crypto_daily.py 가 만든다.
# ⚠⚠ **원화다. 달러가 아니다.** 환율로 곱해도 글로벌 달러 가격과 다르다 —
#   국내 프리미엄이 얹혀 있다. 달러 기준 수준(예: «6만 5,100달러»)을
#   말할 때 이 파일을 쓰지 말 것. 방향과 등락률에만 쓴다.
# ⚠ 창구가 짧을 수 있어 **덮어쓰지 않고 합친다.**
date,open,high,low,close,volume
2025-07-21,160072000,162300000,159350000,160096000,2094.27517219
2025-07-22,160094000,162990000,158750000,162321000,2875.92317751
2025-07-23,162321000,162848000,159192000,161990000,2217.60629442
2025-07-24,162000000,162888000,159000000,160928000,2267.71389667
2025-07-25,160938000,161239000,157746000,160217000,2756.92062441
2025-07-26,160225000,161220000,159600000,160900000,893.50715438
2025-07-27,160900000,162800000,160858000,162717000,1186.33282832
2025-07-28,162548000,162985000,161391000,162483000,1590.53266996
2025-07-29,162483000,163800000,162034000,163158000,1628.46138167
2025-07-30,163248000,163708000,161800000,163118000,1330.16664923
2025-07-31,163118000,164300000,161138000,161398000,1581.43208394
2025-08-01,161400000,161770000,158100000,158102000,2990.4075481
2025-08-02,158101000,159362000,157115000,157376000,1429.79141405
2025-08-03,157376000,160324000,156715000,160227000,1223.99129983
2025-08-04,160208000,161400000,159500000,160332000,1165.54319286
2025-08-05,160333000,160571000,158206000,159999000,1264.47404945
2025-08-06,159999000,160955000,158605000,160000000,1000.70123754
2025-08-07,160000000,162000000,159524000,161853000,1594.91631875
2025-08-08,161853000,161994000,160008000,160099000,1473.64009939
2025-08-09,160099000,161547000,160007000,160180000,1532.65560092
2025-08-10,160180000,163877000,160132000,163859000,2461.77283956
2025-08-11,163860000,167000000,163350000,164210000,4064.5143164
2025-08-12,164210000,164990000,163000000,164298000,3501.42948071
2025-08-13,164298000,168262000,163353000,168051000,3937.38979816
2025-08-14,168051000,169900000,162550000,164723000,5826.57402742
2025-08-15,164723000,165885000,163010000,164122000,2393.987675
2025-08-16,164122000,164374000,162685000,163058000,1422.83003959
2025-08-17,163058000,164194000,163035000,163111000,1289.61093812
2025-08-18,163110000,163456000,160000000,161513000,2978.02047544
2025-08-19,161513000,162388000,157044000,157172000,3213.74040279
