연월,국고3년,회사채AA-,회사채BBB-,AA스프레드,BBB스프레드
2019-02,1.821,2.266,8.343,0.445,6.522
2019-03,1.691,2.163,8.236,0.472,6.545
2019-04,1.699,2.171,8.245,0.472,6.546
2019-05,1.608,2.094,8.169,0.486,6.561
2019-06,1.467,1.963,8.074,0.496,6.607
2019-07,1.292,1.803,7.903,0.511,6.611
2019-08,1.155,1.681,7.782,0.526,6.627
2019-09,1.293,1.798,7.902,0.505,6.609
2019-10,1.46,1.967,8.078,0.507,6.618
2019-11,1.402,1.935,8.044,0.533,6.642
2019-12,1.36,1.937,8.049,0.577,6.689
2020-01,1.306,1.901,8.014,0.595,6.708
2020-02,1.154,1.753,7.889,0.599,6.735
2020-03,1.122,2.097,8.305,0.975,7.183
2020-04,1.018,2.218,8.456,1.2,7.438
2020-05,0.79,2.136,8.426,1.346,7.636
2020-06,0.843,2.249,8.549,1.406,7.706
2020-07,0.788,2.171,8.514,1.383,7.726
2020-08,0.912,2.251,8.604,1.339,7.692
2020-09,0.84,2.188,8.544,1.348,7.704
2020-10,0.931,2.245,8.614,1.314,7.683
2020-11,0.982,2.234,8.638,1.252,7.656
2020-12,0.976,2.208,8.615,1.232,7.639
2021-01,0.97,2.092,8.482,1.122,7.512
2021-02,1.024,2.055,8.434,1.031,7.41
2021-03,1.144,2.069,8.428,0.925,7.284
2021-04,1.141,1.912,8.274,0.771,7.133
2021-05,1.216,1.94,8.311,0.724,7.095
2021-06,1.437,1.957,8.337,0.52,6.9
2021-07,1.41,1.845,8.196,0.435,6.786
2021-08,1.392,1.825,8.122,0.433,6.73
2021-09,1.613,2.065,8.256,0.452,6.643
2021-10,2.074,2.538,8.505,0.464,6.431
2021-11,1.835,2.405,8.263,0.57,6.428
2021-12,1.798,2.415,8.27,0.617,6.472
2022-01,2.2,2.768,8.64,0.568,6.44
2022-02,2.234,2.851,8.693,0.617,6.459
2022-03,2.583,3.269,9.095,0.686,6.512
2022-04,2.934,3.661,9.501,0.727,6.567
2022-05,2.996,3.773,9.616,0.777,6.62
2022-06,3.552,4.359,10.206,0.807,6.654
2022-07,3.026,3.99,9.84,0.964,6.814
2022-08,3.717,4.69,10.548,0.973,6.831
2022-09,4.256,5.33,11.185,1.074,6.929
2022-10,4.168,5.557,11.412,1.389,7.244
2022-11,3.683,5.445,11.284,1.762,7.601
2022-12,3.721,5.231,11.166,1.51,7.445
2023-01,3.293,4.306,10.531,1.013,7.238
2023-02,3.727,4.415,10.833,0.688,7.106
2023-03,3.267,4.07,10.452,0.803,7.185
2023-04,3.34,4.146,10.528,0.806,7.188
2023-05,3.5,4.302,10.694,0.802,7.194
2023-06,3.687,4.493,10.88,0.806,7.193
2023-07,3.665,4.454,10.853,0.789,7.188
2023-08,3.704,4.468,10.886,0.764,7.182
2023-09,3.894,4.662,11.077,0.768,7.183
2023-10,4.101,4.921,11.301,0.82,7.2
2023-11,3.553,4.294,10.73,0.741,7.177
2023-12,3.154,3.898,10.342,0.744,7.188
2024-01,3.262,4.003,10.426,0.741,7.164
2024-02,3.386,4.035,10.399,0.649,7.013
2024-03,3.324,3.928,10.152,0.604,6.828
2024-04,3.516,3.989,10.209,0.473,6.693
2024-05,3.431,3.852,9.997,0.421,6.566
2024-06,3.207,3.668,9.761,0.461,6.554
2024-07,3.0,3.454,9.485,0.454,6.485
2024-08,2.954,3.508,9.429,0.554,6.475
2024-09,2.808,3.394,9.256,0.586,6.448
2024-10,2.958,3.526,9.364,0.568,6.406
2024-11,2.605,3.191,8.991,0.586,6.386
2024-12,2.596,3.284,9.054,0.688,6.458
2025-01,2.54,3.185,8.943,0.645,6.403
2025-02,2.568,3.16,8.924,0.592,6.356
2025-03,2.589,3.155,8.915,0.566,6.326
2025-04,2.293,2.885,8.634,0.592,6.341
2025-05,2.331,2.9,8.65,0.569,6.319
2025-06,2.447,2.957,8.77,0.51,6.323
2025-07,2.469,2.956,8.786,0.487,6.317
2025-08,2.432,2.905,8.747,0.473,6.315
2025-09,2.569,3.006,8.854,0.437,6.285
2025-10,2.729,3.133,8.983,0.404,6.254
2025-11,3.08,3.507,9.357,0.427,6.277
2025-12,2.954,3.476,9.312,0.522,6.358
2026-01,3.135,3.651,9.488,0.516,6.353
2026-02,3.032,3.642,9.468,0.61,6.436
2026-03,3.529,4.15,9.947,0.621,6.418
2026-04,3.568,4.226,10.007,0.658,6.439
2026-05,3.729,4.349,10.157,0.62,6.428
2026-06,3.723,4.387,10.204,0.664,6.481
2026-07,3.776,4.491,10.287,0.715,6.511
2026-08,3.732,4.436,10.233,0.704,6.501
