# 코스피 지수 일별 OHLC · 소스 FinanceDataReader · KS11 · 2026-09-05
일자,시가,고가,저가,종가,거래량
20131223,1993.45,2000.07,1989.0,1996.89,222998038.0
20131224,2000.24,2007.34,1994.34,2001.59,214693967.0
20131226,2004.25,2009.96,1997.34,1999.3,230531170.0
20131227,1994.05,2004.55,1987.58,2002.28,207767057.0
20131230,2004.32,2011.34,1998.61,2011.34,172231154.0
20140102,2013.11,2013.89,1967.19,1967.19,207769815.0
20140103,1963.72,1964.63,1936.15,1946.14,188529402.0
20140106,1947.62,1961.85,1943.74,1953.28,193630493.0
20140107,1947.65,1965.74,1947.08,1959.44,193026899.0
20140108,1965.5,1966.95,1950.02,1958.96,217070410.0
20140109,1962.3,1964.59,1946.11,1946.11,276402210.0
20140110,1949.53,1956.97,1931.16,1938.54,262992551.0
20140113,1947.38,1954.07,1942.83,1948.92,267941941.0
20140114,1942.79,1961.73,1939.31,1946.07,244063216.0
20140115,1956.43,1956.84,1945.87,1953.28,250867193.0
20140116,1957.91,1965.27,1955.79,1957.32,379566979.0
20140117,1958.5,1962.64,1943.13,1944.48,260911125.0
20140120,1945.99,1955.28,1934.38,1953.78,279526953.0
20140121,1955.26,1965.43,1949.56,1963.89,289327346.0
20140122,1960.46,1970.42,1959.57,1970.42,243856768.0
20140123,1968.77,1969.04,1947.01,1947.59,229385348.0
20140124,1941.55,1947.01,1924.49,1940.56,279236727.0
20140127,1905.91,1918.68,1899.76,1910.34,340433398.0
20140128,1907.18,1919.26,1904.05,1916.93,270494957.0
20140129,1925.93,1941.71,1925.52,1941.15,219931029.0
20140203,1930.09,1931.81,1917.64,1919.96,229649075.0
20140204,1894.96,1898.08,1885.53,1886.85,250975580.0
20140205,1897.95,1901.4,1888.47,1891.32,244028734.0
20140206,1897.35,1910.91,1897.35,1907.89,259440604.0
20140207,1922.45,1923.25,1910.9,1922.5,272962006.0
20140210,1928.13,1928.39,1916.4,1923.3,207959262.0
20140211,1924.45,1935.29,1920.55,1932.06,226381214.0
20140212,1942.23,1942.23,1933.54,1935.84,225374457.0
20140213,1936.62,1944.73,1924.39,1926.96,187857214.0
20140214,1930.14,1946.81,1930.14,1940.28,216590520.0
20140217,1951.74,1955.04,1942.94,1946.36,215467675.0
20140218,1946.88,1951.06,1935.6,1946.91,200447310.0
20140219,1944.7,1944.7,1932.44,1942.93,213564069.0
20140220,1932.9,1941.13,1927.53,1930.57,232323298.0
20140221,1948.03,1957.83,1946.68,1957.83,216316061.0
20140224,1958.06,1961.41,1943.86,1949.05,193814001.0
20140225,1958.3,1964.86,1955.7,1964.86,226038995.0
20140226,1963.45,1973.88,1955.92,1970.77,209147810.0
20140227,1969.85,1980.37,1965.7,1978.43,201055960.0
20140228,1976.48,1981.15,1972.65,1979.99,252826255.0
20140303,1967.9,1969.16,1955.11,1964.69,222621540.0
20140304,1954.58,1963.56,1952.61,1954.11,200370101.0
20140305,1973.28,1977.3,1970.28,1971.24,197699285.0
20140306,1973.67,1975.62,1968.17,1975.62,193740176.0
20140307,1979.7,1983.53,1968.66,1974.68,231557237.0
20140310,1967.63,1967.66,1951.96,1954.42,214944284.0
20140311,1957.22,1963.87,1951.2,1963.87,247468004.0
20140312,1957.67,1958.09,1930.48,1932.54,329923547.0
20140313,1940.35,1946.28,1931.75,1934.38,259619849.0
20140314,1916.07,1927.89,1913.64,1919.9,254025556.0
20140317,1921.15,1928.43,1919.61,1927.53,214929875.0
20140318,1941.12,1946.14,1931.83,1940.21,274288464.0
20140319,1947.34,1948.15,1935.27,1937.68,249083311.0
20140320,1934.15,1934.63,1919.37,1919.52,220600639.0
20140321,1930.24,1935.18,1927.85,1934.94,252871476.0
20140324,1937.06,1950.54,1937.06,1945.55,228280678.0
20140325,1940.9,1946.09,1936.62,1941.25,225160524.0
20140326,1954.6,1965.44,1953.69,1964.31,248945609.0
20140327,1963.66,1979.7,1963.1,1977.97,218060994.0
20140328,1972.63,1985.5,1971.25,1981.0,244600277.0
20140331,1988.73,1989.8,1973.05,1985.61,241040678.0
20140401,1983.78,1991.98,1976.06,1991.98,214641821.0
20140402,2000.13,2001.26,1995.08,1997.25,220913202.0
20140403,1999.42,2007.88,1992.16,1993.7,225726317.0
20140404,1987.84,1993.96,1985.76,1988.09,225635831.0
20140407,1984.29,1992.18,1978.63,1989.7,186350290.0
20140408,1977.61,1994.58,1977.61,1993.03,218149230.0
20140409,1997.98,2001.15,1992.12,1998.95,233698729.0
20140410,2007.71,2008.98,1995.79,2008.61,232446685.0
20140411,1985.28,1997.44,1985.16,1997.44,218126131.0
20140414,1993.81,2001.0,1993.07,1997.02,205712486.0
20140415,2008.49,2009.04,1990.34,1992.27,194527489.0
20140416,1994.31,1995.86,1986.25,1992.21,230740936.0
20140417,2000.47,2001.29,1984.98,1992.05,200186433.0
20140418,1998.52,2005.22,1998.26,2004.28,206506648.0
20140421,2006.21,2006.95,1993.53,1999.22,205579265.0
20140422,2000.94,2004.42,1991.47,2004.22,212020111.0
20140423,2010.06,2013.09,1999.78,2000.37,241734556.0
20140424,2006.38,2007.17,1993.18,1998.34,235074620.0
20140425,1996.61,1996.64,1971.66,1971.66,208364426.0
20140428,1969.04,1976.56,1969.04,1969.26,168833145.0
20140429,1974.67,1976.17,1960.36,1964.77,177609409.0
20140430,1973.56,1974.33,1955.15,1961.79,227317715.0
20140502,1966.29,1968.5,1956.32,1959.44,179541230.0
20140507,1964.19,1964.19,1939.55,1939.88,193040873.0
20140508,1945.94,1950.6,1934.72,1950.6,222431388.0
20140509,1953.48,1958.34,1949.64,1956.55,205209835.0
20140512,1956.26,1966.64,1950.91,1964.94,201643955.0
20140513,1973.08,1988.41,1969.6,1982.93,242163325.0
20140514,1990.99,2010.85,1990.79,2010.83,233871508.0
20140515,2007.88,2015.37,2006.38,2010.2,259392477.0
20140516,2003.48,2013.44,1997.27,2013.44,232529933.0
20140519,2013.79,2015.53,2002.89,2015.14,265596364.0
20140520,2011.85,2014.46,2004.32,2011.26,248337103.0
